Date	Heure	Latitude	Longitude	Nom Phase	Type De Phase	Type	Nom Appareil	Code Appareil	Nom Action	Code Action	Identificateur Operation	Observation	Num Station	Strate	Niveau de priorite	FUNES Tension Tribord (daN)	FUNES Vit. filage Tribord (m/s)	FUNES L. filee Tribord (m)	FUNES Tension babord (daN)	FUNES Vit. filage Babord (m/s)	FUNES L. filee Babord (m)	HYDRO Tension treuil (daN)	HYDRO Tension max. (daN)	HYDRO Vitesse de filage (m/s)	HYDRO Vitesse de filage prog. (m/s)	HYDRO Angle longitudinal (deg)	HYDRO Angle transversal (deg)	HYDRO Tension roller (daN)	HYDRO Charge portique (daN)	HYDRO L. filee (m)	EK8070 Sonde (m)	EK8070 Fq (kHz)	EK8038 Sonde (m)	EK8038 Fq (kHz)	EK8018 Sonde (m)	EK8018 Fq (kHz)	EK80200 Sonde (m)	EK80200 Fq (kHz)	EK80333 Sonde (m)	EK8033 Fq (kHz)	EK80120 Sonde (m)	EK80120 Fq (kHz)	ME70 Ha Sonde (m)	ME70 Ha Fq (kHz)	Sonde ref. (m)	Desc. sonde ref.	GILL Temp. air (deg C)	GILL Temp. eau (deg C)	GILL Humidite (%)	GILL Pression (mbar)	GILL Flux de chaleur (W/m2)	GILL Point de rosee (deg C)	GILL Vit. vent app. (nd)	GILL Dir. vent app. (deg)	GILL Vit. vent vrai (nd)	GILL Dir. vent vrai (deg)	METBA Temp. air (deg C)	METBA Temp. eau (deg C)	METBA Humidite (%)	METBA Pression (mbar)	METBA Flux de chaleur (W/m2)	METBA Point de rosee (deg C)	METBA Vit. vent app. (nd)	METBA Dir. vent app. (deg)	METBA Vit. vent vrai (nd)	METBA Dir. vent vrai (deg)	MARPORT Immersion (m)	MARPORT Temp. immersion (deg C)	MARPORT Altitude corde d'eau % fond (m)	MARPORT Vit. transversale (m/s)	MARPORT Vit. longitudinale (m/s)	MARPORT Dist. bourrelet % fond (m)	MARPORT Ouv. verticale (m)	MARPORT Ouv. horizontale (m)	MARPORT Dist. des panneaux (m)	PHINS B Date (j)	PHINS B Cap (deg)	PHINS B Roulis (deg)	PHINS B Tangage (deg)	PHINS B Pilonnement (deg)	PHINS B Flag de validite	PHINS T Date (j)	PHINS T Cap (deg)	PHINS T Roulis (deg)	PHINS T Tangage (deg)	PHINS T Pilonnement	PHINS T Flag de validite	PROPULSION SIR. Vitesse prop etrave (t/min)	PROPULSION SIR. Vitesse prop arriere (t/min)	PROPULSION SIR. Vitesse helice (t/min)	PROPULSION SIR. angle (deg)	CELE Celerite (m/s)	SBE3S Temp eau peak av (deg C)	SBE3S Temp eau peak av (deg C)	SBE21 Temp (deg C)	SBE21 Conductivite (mS/cm)	SBE21 Salinite (PSU)	SBE21 Celerite surf (m/s)	SBE21 Densite (kg/m3)	SBE21 Donnees brutes	THSAL Debit (l/min)	CUFES Debit (l/min)	CINNA Lat.	CINNA Long.	CINNA Altitude (m)	CINNA Vit. fond (nd)	CINNA Route fond (deg)	CINNA Vit. surf (nd)	CINNA Route surf (deg)	CINNA Vitesse derive (nd)	CINNA Cap derive (deg)	CINNA Cap (deg)	CINNA Roulis (deg)	CINNA Tangage (deg)	CINNA Pilonnement (m)	CINNA Sonde vert. (m)	CINNA Tirant d'eau	GRAVI Grav relative (mgal)	GRAVI AccX (m/s2)	GRAVI AccY (m/s2)	GRAVI Echelle	GRAVI Ordre filtre	GRAVI Delai filtre (s)	GRAVI GPS on?	GRAVI Status	GRAVI Date (j)	FERRYBOX Qualite	FERRYBOX Date (j)	FERRYBOX SBE45 temp. mer (deg C)	FERRYBOX SBE45 cond. (S/m)	FERRYBOX SBE45 sal. (PSU)	FERRYBOX SBE45 cel. (m/s)	FERRYBOX Optode oxygene (uM/l)	FERRYBOX Optode saturation (%)	FERRYBOX Optode temp. mer (deg C)	FERRYBOX Seapoint turbidite (FTU)	FERRYBOX AOA algue verte (ug/l)	FERRYBOX AOA algue bleue (ug/l)	FERRYBOX AOA diatomees (ug/l)	FERRYBOX AOA cryptophytes (ug/l)	FERRYBOX AOA yellow sub (ug/l)	FERRYBOX AOA temp.capteur (deg C	FERRYBOX AOA algue total (ug/l)	FERRYBOX FB ph valeur	FERRYBOX FB ph temp. mer (deg C)	FERRYBOX FB temp. air (deg C)	FERRYBOX Pression (mBar)	FERRYBOX Debit entree (l/min)	FERRYBOX Debit principal (l/min)	FERRYBOX Debit PCO2 (l/min)	FERRYBOX Debit bypass 2 (l/min)	FERRYBOX Debit AOA (l/min)	FERRYBOX Demi plein	FERRYBOX Plein	
04/03/2019	00:00:00	8,7956713	-19,8921105			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4182,4302	TL_EK80_18K	-300	-300	-1	-1	-1	-300	17,5	283	-1	-1	24,3	25,8	67,7	1014,1	0	17,944	13,8	283	16,9	10	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	130,76	1,89	-0,18	-0,11	-1	0	130,74	1,86	-0,18	-0,1	-1	-2,8	-0,5	125,8	-0,3	1537,65	-300	25,885	26,202	5,5736	36,022	1537,6	23,8405	A1EDDBB714E7DA	40,38	-1	8,7957	-19,8921	19,444	11,73	133	10,39	126,17	1,67	172,11	130,79	-100	-100	-200	4182,3999	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43527,9999	25,402	0,161	0,805	1498,67	224,892	88,043	25,529	16,07	1,266	0	1,103	0	0	0	2,369	10	-184,34	24,7	6	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
04/03/2019	00:00:30	8,7945501	-19,8909116			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	0	0	0	0	4186,5	0	0	0	0	0	0	0	-1	-1	4186,5	TL_EK80_18K	-300	-300	-1	-1	-1	-300	17,4	276	-1	-1	24,3	25,8	69,2	1014,1	0	18,293	14,7	281	16,3	13	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	132,83	1,39	-0,55	0,12	-1	0	132,81	1,37	-0,56	0,12	-1	-2,9	-0,5	122,9	0,5	1537,66	-300	25,891	26,206	5,5739	36,0212	1537,6	23,838	A1F3DBBA14E87E	40,38	-1	8,7946	-19,8909	19,248	11,72	133,33	10,26	127,03	1,79	172,67	132,87	-100	-100	-200	4186,5	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43528,0002	25,404	0,161	0,805	1498,6801	224,77	87,994	25,528	16,07	1,266	0	1,103	0	0	0	2,369	10	-184,352	24,675	2,25	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
04/03/2019	00:01:00	8,7934136	-19,8897106			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4190,8301	TL_EK80_18K	-300	-300	-1	-1	-1	-300	18	281	-1	-1	24,3	25,8	68,9	1014,2	0	18,224	16,1	284	16,3	15	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	132,42	1,41	-0,45	0,24	-1	0	132,4	1,39	-0,46	0,25	-1	-2,8	-0,5	124,4	0,4	1537,6801	-300	25,894	26,208	5,5741	36,0212	1537,6	23,8371	A1F6DBBC14E8CE	40,38	-1	8,7934	-19,8897	19,81	11,8	133,77	10,4	127,5	1,92	170,75	132,49	-100	-100	-200	4190,7998	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43528,0006	25,403	0,161	0,805	1498,67	224,762	87,99	25,528	16,1	1,266	0	1,103	0	0	0	2,369	10	-184,387	24,675	7,25	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
04/03/2019	00:01:30	8,7922544	-19,8885237			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4191,52	TL_EK80_18K	-300	-300	-1	-1	-1	-300	16,4	285	-1	-1	24,3	25,9	68,7	1014,2	0	18,177	14,3	289	15,9	13	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	131,35	1,44	0,17	0,51	-1	0	131,33	1,42	0,16	0,56	-1	-2,8	-0,5	127,4	0,5	1537,67	-300	25,89	26,213	5,5746	36,0209	1537,6	23,838	A1FEDBC114E866	40,38	-1	8,7923	-19,8885	20,248	11,89	134,57	10,44	127,2	1,96	169,85	131,39	-100	-100	-200	4191,5	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43528,0009	25,402	0,161	0,805	1498,67	224,848	88,024	25,528	16,12	1,266	0	1,103	0	0	0	2,369	10	-184,492	24,67	5,5	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
04/03/2019	00:02:00	8,7911309	-19,887322			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	0	0	0	0	4193,73	0	0	0	0	0	0	0	-1	-1	4193,73	TL_EK80_18K	-300	-300	-1	-1	-1	-300	17	282	-1	-1	24,3	25,8	69	1014,1	0	18,247	15,3	288	16,5	16	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	131,68	1,08	-0,82	0,08	-1	0	131,66	1,06	-0,83	0,02	-1	-2,8	-0,5	123,9	-0,3	1537,6801	-300	25,899	26,216	5,575	36,0213	1537,6	23,8358	A203DBC514E93D	40,38	-1	8,7911	-19,8873	19,407	11,73	133,36	10,45	127,32	1,94	175,98	131,85	-100	-100	-200	4193,7002	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43528,0013	25,391	0,161	0,805	1498,64	224,693	87,961	25,527	16,1	1,266	0	1,103	0	0	0	2,369	10	-184,48	24,65	5,5	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
04/03/2019	00:02:30	8,7900003	-19,8861217			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4196,98	TL_EK80_18K	-300	-300	-1	-1	-1	-300	16,6	283	-1	-1	24,3	25,9	69,3	1014,1	0	18,316	15,1	289	15,9	17	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	131,08	1,71	0,96	0,29	-1	0	131,06	1,68	0,95	0,34	-1	-2,8	-0,5	131,5	-1,2	1537,6801	-300	25,901	26,215	5,575	36,0218	1537,6	23,8355	A202DBC514E97C	40,63	-1	8,79	-19,8861	20,238	11,8	133,74	11,44	126,83	1,7	179,35	130,91	-100	-100	-200	4197	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43528,0016	25,398	0,161	0,805	1498,66	224,559	87,909	25,527	16,075	1,266	0	1,103	0	0	0	2,369	10	-184,535	24,64	2,25	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
04/03/2019	00:03:00	8,7888894	-19,8849339			ACQAUTO									0	-1	-1	-1	-1	-1	-1	-10	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4198,7998	TL_EK80_18K	-300	-300	-1	-1	-1	-300	14,7	281	-1	-1	24,3	25,9	69	1014,1	0	18,247	10,7	281	14,7	359	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	130,66	2,65	-0,23	-0,41	-1	0	130,64	2,62	-0,24	-0,43	-1	-2,8	-0,5	128,4	-1,9	1537,7	-300	25,904	26,219	5,5753	36,0216	1537,6	23,8345	A207DBC814E9C0	40,63	-1	8,7889	-19,8849	19,502	11,66	133,41	10,64	126,57	1,48	190,67	130,44	-100	-100	-200	4198,7998	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43528,002	25,399	0,161	0,805	1498,66	224,769	87,99	25,526	16,1	1,266	0	1,103	0	0	0	2,369	10	-184,523	24,64	3,25	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
04/03/2019	00:03:30	8,7877655	-19,8837509			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	0	0	0	0	4202,3999	0	0	0	0	0	0	0	-1	-1	4202,3999	TL_EK80_18K	-300	-300	-1	-1	-1	-300	14	283	-1	-1	24,3	25,9	70,5	1014,1	0	18,59	11,8	285	14,5	7	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	132,66	0,74	0,37	0,37	-1	0	132,64	0,72	0,36	0,37	-1	-2,8	-0,5	126,1	1,6	1537,6801	-300	25,908	26,22	5,5757	36,0223	1537,6	23,8337	A20ADBCB14EA2F	40,63	-1	8,7878	-19,8838	20,039	11,72	134,29	10,8	128,05	1,37	184,53	132,83	-100	-100	-200	4202,3999	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43528,0023	25,397	0,161	0,805	1498,66	224,766	87,987	25,525	16,11	1,266	0	1,103	0	0	0	2,369	10	-184,582	24,62	3,75	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
04/03/2019	00:04:00	8,7866073	-19,8825708			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4203,1499	TL_EK80_18K	-300	-300	-1	-1	-1	-300	15,4	288	-1	-1	24,3	25,8	70,8	1014,1	0	18,658	11,8	294	13,6	10	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	131,79	2,66	0,22	-0,32	-1	0	131,76	2,64	0,22	-0,25	-1	-2,8	-0,5	125,1	-0,9	1537,72	-300	25,906	26,225	5,5762	36,0224	1537,6	23,8343	A211DBD014EA07	40,63	-1	8,7866	-19,8826	19,984	11,87	134,66	10,61	127,3	1,76	174,94	131,64	-100	-100	-200	4203,1001	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43528,0027	25,397	0,161	0,805	1498,66	224,772	87,987	25,524	16,07	1,266	0	1,103	0	0	0	2,369	10	-184,582	24,615	3,5	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
04/03/2019	00:04:30	8,7854963	-19,8813744			ACQAUTO									0	-1	-1	-1	-1	-1	-1	-10	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4204,5098	TL_EK80_18K	-300	-300	-1	-1	-1	-300	17,8	281	-1	-1	24,3	25,9	70,4	1014	0	18,567	14,7	284	16,9	12	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	132,25	-0,73	-1,07	-0,14	-1	0	132,23	-0,76	-1,09	-0,23	-1	-2,8	-0,5	123,9	0,4	1537,73	-300	25,915	26,229	5,5765	36,0217	1537,7	23,8309	A217DBD314EAF8	40,63	-1	8,7855	-19,8814	19,81	11,71	133,28	10,42	127,1	1,73	174,92	132,2	-100	-100	-200	4204,5	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	2	43528,003	25,395	0,161	0,805	1498,65	224,679	87,95	25,523	16,07	1,266	0	1,103	0	0	0	2,369	10	-184,57	24,625	3	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
