Date	Latitude	Longitude	Nom Phase	Type De Phase	Type	Nom Appareil	Code Appareil	Nom Action	Code Action	Identificateur Operation	Observation	Num Station	Strate	Niveau de priorite	FUNES Tension Tribord (daN)	FUNES Vit. filage Tribord (m/s)	FUNES L. filee Tribord (m)	FUNES Tension babord (daN)	FUNES Vit. filage Babord (m/s)	FUNES L. filee Babord (m)	HYDRO Tension treuil (daN)	HYDRO Tension max. (daN)	HYDRO Vitesse de filage (m/s)	HYDRO Vitesse de filage prog. (m/s)	HYDRO Angle longitudinal (deg)	HYDRO Angle transversal (deg)	HYDRO Tension roller (daN)	HYDRO Charge portique (daN)	HYDRO L. filee (m)	EK8070 Sonde (m)	EK8070 Fq (kHz)	EK8038 Sonde (m)	EK8038 Fq (kHz)	EK8018 Sonde (m)	EK8018 Fq (kHz)	EK80200 Sonde (m)	EK80200 Fq (kHz)	EK80333 Sonde (m)	EK8033 Fq (kHz)	EK80120 Sonde (m)	EK80120 Fq (kHz)	ME70 Ha Sonde (m)	ME70 Ha Fq (kHz)	Sonde ref. (m)	Desc. sonde ref.	GILL Temp. air (deg C)	GILL Temp. eau (deg C)	GILL Humidite (%)	GILL Pression (mbar)	GILL Flux de chaleur (W/m2)	GILL Point de rosee (deg C)	GILL Vit. vent app. (nd)	GILL Dir. vent app. (deg)	GILL Vit. vent vrai (nd)	GILL Dir. vent vrai (deg)	METBA Temp. air (deg C)	METBA Temp. eau (deg C)	METBA Humidite (%)	METBA Pression (mbar)	METBA Flux de chaleur (W/m2)	METBA Point de rosee (deg C)	METBA Vit. vent app. (nd)	METBA Dir. vent app. (deg)	METBA Vit. vent vrai (nd)	METBA Dir. vent vrai (deg)	MARPORT Immersion (m)	MARPORT Temp. immersion (deg C)	MARPORT Altitude corde d'eau % fond (m)	MARPORT Vit. transversale (m/s)	MARPORT Vit. longitudinale (m/s)	MARPORT Dist. bourrelet % fond (m)	MARPORT Ouv. verticale (m)	MARPORT Ouv. horizontale (m)	MARPORT Dist. des panneaux (m)	PHINS B Date (j)	PHINS B Cap (deg)	PHINS B Roulis (deg)	PHINS B Tangage (deg)	PHINS B Pilonnement (deg)	PHINS B Flag de validite	PHINS T Date (j)	PHINS T Cap (deg)	PHINS T Roulis (deg)	PHINS T Tangage (deg)	PHINS T Pilonnement	PHINS T Flag de validite	PROPULSION SIR. Vitesse prop etrave (t/min)	PROPULSION SIR. Vitesse prop arriere (t/min)	PROPULSION SIR. Vitesse helice (t/min)	PROPULSION SIR. angle (deg)	CELE Celerite (m/s)	SBE3S Temp eau peak av (deg C)	SBE3S Temp eau peak av (deg C)	SBE21 Temp (deg C)	SBE21 Conductivite (mS/cm)	SBE21 Salinite (PSU)	SBE21 Celerite surf (m/s)	SBE21 Densite (kg/m3)	SBE21 Donnees brutes	THSAL Debit (l/min)	CUFES Debit (l/min)	CINNA Lat.	CINNA Long.	CINNA Altitude (m)	CINNA Vit. fond (nd)	CINNA Route fond (deg)	CINNA Vit. surf (nd)	CINNA Route surf (deg)	CINNA Vitesse derive (nd)	CINNA Cap derive (deg)	CINNA Cap (deg)	CINNA Roulis (deg)	CINNA Tangage (deg)	CINNA Pilonnement (m)	CINNA Sonde vert. (m)	CINNA Tirant d'eau	FERRYBOX Qualite	FERRYBOX Date (j)	FERRYBOX SBE45 temp. mer (deg C)	FERRYBOX SBE45 cond. (S/m)	FERRYBOX SBE45 sal. (PSU)	FERRYBOX SBE45 cel. (m/s)	FERRYBOX Optode oxygene (uM/l)	FERRYBOX Optode saturation (%)	FERRYBOX Optode temp. mer (deg C)	FERRYBOX Seapoint turbidite (FTU)	FERRYBOX AOA algue verte (ug/l)	FERRYBOX AOA algue bleue (ug/l)	FERRYBOX AOA diatomees (ug/l)	FERRYBOX AOA cryptophytes (ug/l)	FERRYBOX AOA yellow sub (ug/l)	FERRYBOX AOA temp.capteur (deg C	FERRYBOX AOA algue total (ug/l)	FERRYBOX FB ph valeur	FERRYBOX FB ph temp. mer (deg C)	FERRYBOX FB temp. air (deg C)	FERRYBOX Pression (mBar)	FERRYBOX Debit entree (l/min)	FERRYBOX Debit principal (l/min)	FERRYBOX Debit PCO2 (l/min)	FERRYBOX Debit bypass 2 (l/min)	FERRYBOX Debit AOA (l/min)	FERRYBOX Demi plein	FERRYBOX Plein	ENG1 Lat.	ENG1 Long.	ENG1 X (m)	ENG1 Y (m)	ENG1 Sonde (m)	ENG1 Mode	ENG1 Systeme	ENG1 Altitude	ENG1 Vit. fond (nd)	ENG1 Route fond (deg)	ENG1 Vit. surf (nd)	ENG1 Route surf (deg)	ENG1 Bearing (deg)	ENG1 Hordist (m)	ENG1 Truedist (m)	ENG1 Cap (deg)	ENG2 Lat.	ENG2 Long.	ENG2 X (m)	ENG2 Y (m)	ENG2 Sonde (m)	ENG2 Mode	ENG2 Systeme	ENG2 Altitude	ENG2 Vit. fond (nd)	ENG2 Route fond (deg)	ENG2 Vit. surf (nd)	ENG2 Route surf (deg)	ENG2 Bearing (deg)	ENG2 Hordist (m)	ENG2 Truedist (m)	ENG2 Cap (deg)	
2023-03-05T10:10:30	N 16° 49,99064'	W 25° 6,59372'			ACQAUTO									0	650	0	0	840	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57,26	TL_EK80_18K	-300	-300	-1	-1	-1	-300	15,8	239	-1	-1	20,8	22,4	80,5	1014	617	17,321	13,4	244	19,6	37	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	182,75	-0,06	-0,22	-0,17	-1	0	182,77	-0,09	-0,2	-0,14	-1	-0,1	-0,8	107	1,7	0	-300	22,703	22,95	5,2483	36,1941	1530	24,9254	9B6DCD0E272F41	46,12	18,29	16,8332	-25,1099	30,207	9,8	178,57	10,52	178,19	0,66	312,6	182,74	-100	-100	-200	48,2	-1	0	44990,4239	22,965	5,252	36,218	1530,7	258,611	96,361	22,885	1,505	0,27	0	0	0	0	0	0,27	9	22,976	21,445	135,5	19,229	4,621	5,208	3,965	0,77	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T10:11:00	N 16° 49,90936'	W 25° 6,59908'			ACQAUTO									0	660	0	0	840	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	53,87	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,9	241	-1	-1	20,8	22,4	80,5	1013,9	610	17,321	8,1	268	12,8	43	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	180,27	1,25	-0,3	-0,15	-1	0	180,29	1,22	-0,28	-0,16	-1	-0,1	-0,8	114,9	1,3	0	-300	22,709	23,008	5,253	36,1826	1530	24,9149	9BC7CD3B27307E	46,62	28,95	16,8318	-25,11	30,201	9,77	183,02	10,62	178,8	0,82	331,24	180,34	-100	-100	-200	46,7	-1	0	44990,4242	23,017	5,256	36,209	1530,8199	258,151	96,294	22,941	1,51	0,11	0	0	0	0	0	0,11	8	22,999	21,465	129,75	19,175	4,621	5,17	3,926	0,731	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T10:11:30	N 16° 49,82773'	W 25° 6,59607'			ACQAUTO									0	640	0	0	840	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	53,87	TL_EK80_18K	-300	-300	-1	-1	-1	-300	12,5	249	-1	-1	20,8	22,4	80,4	1013,9	551	17,302	11,8	257	17,3	41	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	177,9	1,16	0,28	0,09	-1	0	177,92	1,12	0,29	0,04	-1	-0,1	-0,7	111,3	-1,6	0	-300	22,711	23,026	5,2548	36,1817	1530	24,9137	9BE4CD4D2730E4	46,62	19,81	16,8305	-25,1099	30,325	9,79	177,92	10,21	174,55	1,05	323,22	177,88	-100	-100	-200	46,2	-1	0	44990,4246	23,049	5,259	36,202	1530,9	258,529	96,519	22,987	1,5	0,04	0	0	0	0	0	0,04	8	23,01	21,465	127,75	19,102	4,66	5,288	4,021	0,77	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T10:12:00	N 16° 49,74613'	W 25° 6,59545'			ACQAUTO									0	650	0	0	820	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	TL_EK80_18K	-300	-300	-1	-1	-1	-300	8,3	249	-1	-1	20,9	22,4	80,4	1014	589	17,399	7,9	257	14	36	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	183,37	0,77	0	0,07	-1	0	183,39	0,74	0,02	0,06	-1	-0,1	-0,7	109,9	2	0	-300	22,693	23,034	5,2557	36,1826	1529,9	24,9195	9BF0CD56272D46	46,87	28,95	16,8291	-25,1099	30,365	9,8	180,24	10,71	179,1	0,66	315,93	183,39	-100	-100	-200	45,7	-1	0	44990,4249	23,062	5,26	36,2	1530,9301	258,591	96,594	23,015	1,495	0,04	0	0	0	0	0	0,04	8	23,044	21,465	136,75	19,235	4,536	5,202	3,926	0,757	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T10:12:30	N 16° 49,66413'	W 25° 6,59921'			ACQAUTO									0	650	0	0	820	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	52,11	TL_EK80_18K	-300	-300	-1	-1	-1	-300	9,8	253	-1	-1	20,9	22,4	80,3	1014	627	17,379	8,7	252	15,1	35	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	178,8	2,48	0,33	-0,03	-1	0	178,82	2,46	0,34	0,02	-1	-0,1	-0,7	115,4	0,1	0	-300	22,68	23,028	5,2558	36,1881	1529,9	24,9273	9BE7CD57272AC3	46,62	53,33	16,8277	-25,11	30,286	9,85	181,78	10,66	176,68	0,91	323,46	178,84	-100	-100	-200	44,3	-1	0	44990,4253	23,064	5,26	36,201	1530,9301	258,272	96,505	23,032	1,49	0,05	0	0	0	0	0	0,05	8	23,056	21,465	134,75	19,288	4,579	5,234	3,963	0,757	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T10:13:00	N 16° 49,58246'	W 25° 6,59443'			ACQAUTO									0	670	0	0	850	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	52,11	TL_EK80_18K	-300	-300	-1	-1	-1	-300	7,5	253	-1	-1	20,9	22,4	80	1014	614	17,32	6,2	250	12,8	21	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	178,41	0,88	-0,09	0,12	-1	0	178,43	0,85	-0,08	0,06	-1	-0,1	-0,7	108,7	-0,6	0	-300	22,768	23,011	5,255	36,1954	1530,2	24,9076	9BCDCD4F273C61	46,12	6,1	16,8264	-25,1099	30,239	9,82	177,14	10,44	174,91	1,05	322,59	178,41	-100	-100	-200	43,1	-1	0	44990,4256	23,051	5,26	36,207	1530,91	258,298	96,52	23,035	1,505	0,02	0	0	0	0	0	0,02	8	23,079	21,46	127,25	19,229	4,621	5,208	3,965	0,757	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T10:13:30	N 16° 49,50071'	W 25° 6,59519'			ACQAUTO									0	650	0	0	850	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48,91	TL_EK80_18K	-300	-300	-1	-1	-1	-300	9,6	242	-1	-1	21,1	22,4	80,5	1014,1	528	17,613	7,5	252	14,2	35	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	184,29	0,72	-0,08	0	-1	0	184,31	0,69	-0,07	0	-1	-0,1	-0,7	110,5	3,3	0	-300	22,777	23,068	5,2577	36,1694	1530,1	24,8852	9C26CD69273E3F	45,87	33,52	16,825	-25,1099	30,096	9,8	181,02	11,13	180,48	0,67	320,57	184,33	-100	-100	-200	42,1	-1	0	44990,426	23,068	5,26	36,199	1530,9399	258,271	96,515	23,037	1,5	0,02	0	0	0	0	0	0,02	9	23,079	21,46	132,25	19,229	4,621	5,188	3,945	0,745	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T10:14:00	N 16° 49,41903'	W 25° 6,59999'			ACQAUTO									0	660	0	0	860	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48,36	TL_EK80_18K	-300	-300	-1	-1	-1	-300	9	254	-1	-1	21,1	22,4	80,6	1014	404	17,633	7,7	257	14	35	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	178,88	0,6	-0,16	0,17	-1	0	178,91	0,57	-0,15	0,19	-1	-0,1	-0,7	114,2	0,7	0	-300	22,782	23,094	5,2601	36,167	1530,2	24,882	9C4FCD81273F2A	46,12	38,1	16,8237	-25,11	30,372	9,83	182,47	10,42	176,12	1,08	334,06	178,94	-100	-100	-200	42	-1	0	44990,4263	23,117	5,264	36,188	1531,05	258,375	96,617	23,072	1,515	0,06	0	0	0	0	0	0,06	8	23,09	21,485	128,75	19,042	4,579	5,176	3,926	0,731	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T10:14:30	N 16° 49,33688'	W 25° 6,59701'			ACQAUTO									0	660	0	0	840	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48,14	TL_EK80_18K	-300	-300	-1	-1	-1	-300	7,6	225	-1	-1	21	22,5	79,5	1014,1	349	17,318	6,8	240	13,2	14	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	177,81	0,62	0,03	-0,2	-1	0	177,83	0,59	0,04	-0,25	-1	-0,1	-0,7	110,5	-0,1	0	-300	22,795	23,106	5,2615	36,1679	1530,2	24,8788	9C61CD8E2741E2	46,62	12,19	16,8223	-25,11	29,993	9,87	178,32	10,44	174,45	1,21	324,91	177,82	-100	-100	-200	41,4	-1	0	44990,4267	23,135	5,266	36,185	1531,09	258,664	96,767	23,095	1,5	0	0	0	0	0	0	0	8	23,113	21,51	132,5	19,335	4,54	5,242	3,945	0,757	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T10:15:00	N 16° 49,25419'	W 25° 6,59639'			ACQAUTO									0	640	0	0	840	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48,14	TL_EK80_18K	-300	-300	-1	-1	-1	-300	4,7	233	-1	-1	21,2	22,5	79,6	1014	313	17,532	4	230	12	20	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	182,56	0,8	-0,09	0,1	-1	0	182,58	0,77	-0,08	0,12	-1	-0,1	-0,7	110,3	1,5	0	-300	22,806	23,114	5,2622	36,1661	1530,2	24,8743	9C6FCD95274415	46,87	42,67	16,8209	-25,1099	30,165	9,92	180,09	10,77	178,14	0,85	304,9	182,55	-100	-100	-200	41,9	-1	0	44990,427	23,14	5,266	36,184	1531,11	258,626	96,78	23,109	1,5	0	0	0	0	0	0	0	8	23,124	21,515	138,25	19,229	4,621	5,224	3,983	0,757	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
