11/04/2017 15:30:02 08°46.48066 S  034°45.96689 W 356.59
Time,Conductivity,Temperature,Pressure,Chlorophyll a,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
2017-04-11 15:30:00.000,0.0010638,28.0080083,10.1680074,3.0164398,0.0355074,0.0352178,0.0128565,1504.4221083,1.0060069,-3.7571997
2017-04-11 15:30:15.000,0.0022801,28.0239618,10.1616164,8.9173141,0.0291164,0.0288790,0.0129485,1504.4611748,2.1556377,-3.7616954
2017-04-11 15:30:26.000,0.0012806,27.7525241,10.1748445,7.8857889,0.0423445,0.0419992,0.0127750,1503.7938942,1.2166412,-3.6848964
2017-04-11 15:30:36.000,0.0018931,28.0194331,10.1805515,7.4945046,0.0480515,0.0476597,0.0129018,1504.4503536,1.7898720,-3.7603579
2017-04-11 15:30:47.000,0.0006675,28.1739274,10.1874636,0.1986912,0.0549636,0.0545154,0.0129396,1504.8279887,0.6293136,-3.8043420
2017-04-11 15:30:57.000,0.0016779,28.2447926,10.1899913,7.5333584,0.0574913,0.0570225,0.0129538,1505.0006140,1.5800179,-3.8245943
2017-04-11 15:31:08.000,0.0002877,28.3741356,10.1863322,0.0881468,0.0538322,0.0533932,0.0131071,1505.3147551,0.2702762,-3.8616161
2017-04-11 15:31:18.000,0.0006797,28.2875004,10.1857549,6.3512089,0.0532549,0.0528206,0.0129751,1505.1043902,0.6395546,-3.8368376
2017-04-11 15:31:29.000,0.0007373,28.5841473,10.1849106,7.3112197,0.0524106,0.0519832,0.0130642,1505.8220026,0.6900665,-3.9222473
2017-04-11 15:31:39.000,0.0006390,28.6964682,10.1899931,6.8811985,0.0574931,0.0570243,0.0131144,1506.0921724,0.5968305,-3.9547555
2017-04-11 15:31:50.000,0.0005206,28.8384487,10.1914224,6.7094237,0.0589224,0.0584419,0.0131835,1506.4323096,0.4850115,-3.9960271
2017-04-11 15:32:01.000,0.0006827,28.9082210,10.1938368,6.4072402,0.0613368,0.0608366,0.0131761,1506.5989145,0.6353237,-4.0163981
2017-04-11 15:32:12.000,0.0015381,29.1184260,10.1950329,6.3441977,0.0625329,0.0620230,0.0132185,1507.0987147,1.4259254,-4.0780105
2017-04-11 15:32:23.000,0.0017158,29.2419310,10.1984094,6.3763909,0.0659094,0.0653719,0.0132673,1507.3909721,1.5871886,-4.1143634
2017-04-11 15:32:34.000,0.0013314,29.1883323,10.2053941,6.5108894,0.0728941,0.0722997,0.0132330,1507.2644007,1.2327904,-4.0985425
2017-04-11 15:32:45.000,0.0013104,29.2357665,10.2047849,6.5188354,0.0722849,0.0716955,0.0132474,1507.3765022,1.2123019,-4.1125295
2017-04-11 15:32:56.000,0.0010823,29.3603329,10.2054948,6.5918689,0.0729948,0.0723995,0.0132877,1507.6701709,0.9990711,-4.1493435
2017-04-11 15:33:07.000,0.0008955,30.0799662,10.2125998,6.7301652,0.0800998,0.0794467,0.0135224,1509.3452725,0.8162894,-4.3646782
2017-04-11 15:33:18.000,0.0011112,30.1821936,10.2199787,6.5983543,0.0874787,0.0867654,0.0135418,1509.5803624,1.0111477,-4.3956172
2017-04-11 15:33:29.000,0.0008650,29.9622464,10.2149148,7.0783305,0.0824148,0.0817427,0.0134885,1509.0738170,0.7901374,-4.3291238
2017-04-11 15:33:40.000,0.0015235,30.0617879,10.2197561,7.2792018,0.0872561,0.0865446,0.0135074,1509.3035227,1.3892276,-4.3591570
2017-04-11 15:33:51.000,0.0015418,30.0646639,10.2128394,6.9803487,0.0803394,0.0796842,0.0135090,1509.3100304,1.4058311,-4.3600567
2017-04-11 15:34:02.000,0.0013803,29.9827522,10.2217046,7.5017495,0.0892046,0.0884771,0.0134793,1509.1212780,1.2603567,-4.3352877
2017-04-11 15:34:13.000,0.0012284,30.4013938,10.2281718,7.6559379,0.0956718,0.0948916,0.0136063,1510.0818794,1.1135016,-4.4622810
2017-04-11 15:34:24.000,0.0011442,30.5922816,10.2244386,8.0283503,0.0919386,0.0911889,0.0136660,1510.5157034,1.0337770,-4.5207197
2017-04-11 15:34:35.000,0.0013258,30.3051567,10.2185296,8.1287276,0.0860296,0.0853281,0.0135768,1509.8620046,1.2038549,-4.4329895
2017-04-11 15:34:46.000,0.0020202,30.0862774,10.2353483,4.0121494,0.1028483,0.1020096,0.0135474,1509.3602128,1.8412819,-4.3664684
2017-04-11 15:34:57.000,11.3501126,29.2421400,10.2367006,7.1571482,0.1042006,0.1033508,5.8971635,1513.6776834,10499.4000172,0.2770514
2017-04-11 15:35:08.000,60.2114316,28.8710867,10.3006350,3.3321791,0.1681350,0.1667639,37.1214595,1545.4612936,56066.0347440,23.7020446
2017-04-11 15:35:19.000,60.2618325,28.8764736,10.4336077,-0.2592589,0.3011077,0.2986523,37.1523442,1545.5075004,56107.5902967,23.7240271
2017-04-11 15:35:30.000,60.3197822,28.8911669,10.5038202,-0.1707414,0.3713202,0.3682922,37.1812352,1545.5704007,56146.8742063,23.7411158
2017-04-11 15:35:41.000,60.2944454,28.9029528,10.5310733,0.9081670,0.3985733,0.3953231,37.1543660,1545.5677487,56111.5327544,23.7170680
2017-04-11 15:35:52.000,60.2954418,28.9007187,10.4936661,-0.0062709,0.3611661,0.3582210,37.1568160,1545.5649298,56114.6884232,23.7195013
2017-04-11 15:36:03.000,60.2684343,28.8932907,10.6247476,1.2420187,0.4922476,0.4882335,37.1437563,1545.5375714,56096.9603984,23.7127365
2017-04-11 15:36:14.000,60.2885554,28.8918565,10.6059849,-0.3007995,0.4734849,0.4696238,37.1589029,1545.5501179,56117.1196125,23.7245275
2017-04-11 15:36:25.000,60.2827658,28.8919359,10.5671837,-0.2948409,0.4346837,0.4311391,37.1548184,1545.5453395,56111.6514970,23.7212639
2017-04-11 15:36:36.000,60.2928594,28.8995650,10.4938369,0.3584292,0.3613369,0.3583903,37.1559173,1545.5615283,56113.4357725,23.7192140
2017-04-11 15:36:47.000,60.3007132,28.9026659,10.6016504,5.6096559,0.4691504,0.4653247,37.1589352,1545.5731295,56117.6519408,23.7209014
2017-04-11 15:36:58.000,60.3000500,28.9041187,10.5980647,0.1410824,0.4655647,0.4617682,37.1573399,1545.5744897,56115.5855608,23.7191983
2017-04-11 15:37:09.000,60.3190370,28.9285300,10.5837442,-0.1255784,0.4512442,0.4475645,37.1515151,1545.6201534,56108.9093334,23.7065521
2017-04-11 15:37:20.000,60.2925804,28.9097717,10.6647955,2.1164926,0.5322955,0.5279548,37.1477028,1545.5775368,56102.9971332,23.7103371
2017-04-11 15:37:31.000,60.2570876,28.8764126,10.5752205,0.3923761,0.4427205,0.4391103,37.1490410,1545.5062846,56103.2333612,23.7221681
2017-04-11 15:37:42.000,60.2446908,28.8580948,10.4790092,-0.2946656,0.3465092,0.3436836,37.1547348,1545.4715501,56109.9690668,23.7321896
2017-04-11 15:37:53.000,60.2528230,28.8650051,10.5783503,0.3332473,0.4458503,0.4422146,37.1549763,1545.4882308,56110.6455212,23.7304752
2017-04-11 15:38:04.000,59.8051536,28.8297013,10.5293436,4.2922484,0.3968436,0.3936075,36.8704551,1545.1128349,55728.7465862,23.5281708
2017-04-11 15:38:15.000,60.2008748,28.8311703,10.6110762,7.3065456,0.4785762,0.4746736,37.1451695,1545.4062081,56096.0282319,23.7345963
2017-04-11 15:38:26.000,48.8489671,28.8489659,10.3437234,4.9223230,0.2112234,0.2095010,29.3586164,1537.2776995,45503.7477462,17.8853421
2017-04-11 15:38:37.000,60.2192314,28.8455940,10.5895646,0.6507969,0.4570646,0.4533374,37.1467119,1545.4382825,56098.7320379,23.7308244
2017-04-11 15:38:48.000,60.1376458,28.8524721,10.5326161,0.5035614,0.4001161,0.3968533,37.0844742,1545.3865741,56015.8735635,23.6814722
2017-04-11 15:38:59.000,60.2734085,28.8758086,10.5914280,0.2534947,0.4589280,0.4551856,37.1608843,1545.5177197,56119.0319691,23.7313458
2017-04-11 15:39:10.000,59.5939311,28.8404117,10.6130662,2.3327293,0.4805662,0.4766474,36.7150440,1544.9737821,55521.3374683,23.4080951
2017-04-11 15:39:21.000,60.1866630,28.8513867,10.6133946,0.0421065,0.4808946,0.4769730,37.1194705,1545.4224130,56062.6138028,23.7084971
2017-04-11 15:39:32.000,60.2301916,28.8369429,10.8633151,1.1120181,0.7308151,0.7248556,37.1610319,1545.4394744,56117.5805342,23.7456646
2017-04-11 15:39:43.000,60.1942036,28.8034623,10.6992848,0.3327798,0.5667848,0.5621629,37.1621438,1545.3663146,56117.4854973,23.7570314
2017-04-11 15:39:54.000,60.2433118,28.8469476,10.7609343,1.6169426,0.6284343,0.6233097,37.1623960,1545.4605539,56119.8131090,23.7428958
2017-04-11 15:40:05.000,60.2163684,28.8205349,13.5172941,0.0532660,3.3847941,3.3571923,37.1633962,1545.4516307,56121.0881117,23.7642758
2017-04-11 15:40:16.000,60.1242802,28.6967114,16.9675932,0.0763446,6.8350932,6.7793554,37.1949232,1545.2777841,56159.0477710,23.8442013
2017-04-11 15:40:27.000,60.1069951,28.6789762,21.5087877,0.0652435,11.3762877,11.2835182,37.1953305,1545.3166780,56160.6720001,23.8698264
2017-04-11 15:40:38.000,60.0511293,28.6337795,25.7509007,0.0840569,15.6184007,15.4910383,37.1903576,1545.2858319,56153.7665074,23.8993068
2017-04-11 15:40:49.000,60.2886855,28.6661073,29.6744165,0.0854008,19.5419165,19.3825591,37.3300800,1545.5684931,56343.3732198,24.0103363
2017-04-11 15:41:00.000,60.4549818,28.7199322,33.7528193,0.1298636,23.6203193,23.4277040,37.4028329,1545.8292315,56444.5562903,24.0644325
2017-04-11 15:41:11.000,59.8245018,28.2628514,38.5808281,0.1927308,28.4483281,28.2163421,37.3192742,1544.8360665,56314.9293921,24.1745958
2017-04-11 15:41:22.000,59.7004387,28.1174854,40.2393817,0.2087397,30.1068817,29.8613709,37.3462795,1544.5758877,56345.4092495,24.2501595
2017-04-11 15:41:33.000,59.6901185,28.0994842,40.8769468,0.2192566,30.7444468,30.4937369,37.3530608,1544.5544840,56353.9558984,24.2639401
2017-04-11 15:41:44.000,59.6610309,28.0798620,42.8534561,0.2488790,32.7209561,32.4541285,37.3474295,1544.5389430,56346.4315490,24.2746283
2017-04-11 15:41:55.000,59.4240789,27.8915609,45.7749136,0.2685688,35.6424136,35.3517625,37.3281231,1544.1550169,56313.9275627,24.3346746
2017-04-11 15:42:06.000,59.3876406,27.8546470,46.8580392,0.2622587,36.7255392,36.4260556,37.3312618,1544.0953894,56317.0247206,24.3538096
2017-04-11 15:42:17.000,59.3957927,27.8622764,46.9155058,0.2605059,36.7830058,36.4830535,37.3309657,1544.1128292,56316.9730809,24.3513230
2017-04-11 15:42:28.000,59.4025579,27.8662171,46.5245277,0.2737104,36.3920277,36.0952637,37.3327601,1544.1168159,56319.3683015,24.3497077
2017-04-11 15:42:39.000,59.4162467,27.8742669,45.9547591,0.2606812,35.8222591,35.5301414,37.3362598,1544.1286333,56324.1362484,24.3472608
2017-04-11 15:42:50.000,59.4085907,27.8727119,46.0101646,0.2772744,35.8776646,35.5850951,37.3320409,1544.1216816,56318.4643305,24.3448321
2017-04-11 15:43:01.000,59.3925141,27.8594601,47.8074716,0.2820070,37.6749716,37.3677457,37.3305959,1544.1212553,56316.7367435,24.3557814
2017-04-11 15:43:12.000,59.3711040,27.8427089,48.6389446,0.3063125,38.5064446,38.1924384,37.3284480,1544.0961131,56313.5197182,24.3632247
2017-04-11 15:43:23.000,59.3608625,27.8316222,48.1777356,0.2835845,38.0452356,37.7349904,37.3301370,1544.0657295,56315.1167150,24.3661709
2017-04-11 15:43:34.000,59.3563297,27.8264711,47.4981992,0.2929912,37.3656992,37.0609954,37.3312289,1544.0441046,56316.0728389,24.3657829
2017-04-11 15:43:45.000,59.3726446,27.8377480,46.7548285,0.2751126,36.6223285,36.3236865,37.3340853,1544.0594468,56320.0427770,24.3610514
2017-04-11 15:43:56.000,59.3881154,27.8502349,45.9089936,0.2782092,35.7764936,35.4847491,37.3354094,1544.0740962,56321.9759023,24.3543293
2017-04-11 15:44:07.000,59.4485733,27.8949833,43.6502310,0.2357914,33.5177310,33.2444059,37.3434641,1544.1430071,56333.6503095,24.3360234
2017-04-11 15:44:18.000,59.6628981,28.0697145,41.5942482,0.2197240,31.4617482,31.2051889,37.3572013,1544.5058912,56358.5113297,24.2799604
2017-04-11 15:44:29.000,59.6625990,28.0777603,39.7264693,0.2152251,29.5939693,29.3526411,37.3511889,1544.4856754,56350.0489131,24.2647983
2017-04-11 15:44:40.000,59.6789220,28.0926724,38.2883274,0.1990993,28.1558274,27.9262267,37.3513567,1544.4942203,56350.3070343,24.2538537
2017-04-11 15:44:51.000,59.6901613,28.1039959,36.6370354,0.1813960,26.5045354,26.2884004,37.3508413,1544.4906033,56349.4119272,24.2426696
2017-04-11 15:45:02.000,59.7379011,28.1427374,35.1761723,0.1853106,25.0436723,24.8394502,37.3543283,1544.5542358,56355.1131070,24.2262408
2017-04-11 15:45:13.000,59.7942629,28.1837768,33.9929674,0.1714050,23.8604674,23.6658939,37.3619873,1544.6318528,56366.6021356,24.2133667
2017-04-11 15:45:24.000,59.7924888,28.1870623,34.1291912,0.1572073,23.9966912,23.8010067,37.3580865,1544.6371833,56361.5955351,24.2099239
2017-04-11 15:45:35.000,59.8669508,28.2408889,33.3611113,0.1624073,23.2286113,23.0391903,37.3682430,1544.7521132,56377.1500887,24.1964491
2017-04-11 15:45:46.000,59.8905463,28.2644846,33.8993311,0.1537601,23.7668311,23.5730211,37.3660305,1544.8101305,56375.4440118,24.1892549
2017-04-11 15:45:57.000,59.8951283,28.2700055,34.2394294,0.1636343,24.1069294,23.9103460,37.3647836,1544.8265372,56374.1613130,24.1879366
2017-04-11 15:46:08.000,59.8546923,28.2360940,35.2091577,0.1759039,25.0766577,24.8721666,37.3628121,1544.7670736,56370.4678086,24.2018427
2017-04-11 15:46:19.000,59.8053207,28.2018921,36.4451928,0.1792926,26.3126928,26.0981222,37.3546702,1544.7048684,56358.6437037,24.2123296
2017-04-11 15:46:30.000,59.7584491,28.1606456,37.8390029,0.1847848,27.7065029,27.4805663,37.3538164,1544.6375806,56356.3126217,24.2313001
2017-04-11 15:46:41.000,59.7417360,28.1444870,39.8557022,0.2007353,29.7232022,29.4808202,37.3541847,1544.6366943,56356.9541087,24.2455380
2017-04-11 15:46:52.000,59.6721317,28.0892608,41.9601505,0.2175038,31.8276505,31.5681075,37.3481069,1544.5451552,56347.3622916,24.2682167
2017-04-11 15:47:03.000,59.5425032,28.0246456,44.3476347,0.2612070,34.2151347,33.9361225,37.3068529,1544.4004334,56290.5566283,24.2686995
2017-04-11 15:47:14.000,59.4023298,27.8683820,46.7376968,0.3034496,36.6051968,36.3066945,37.3308086,1544.1231004,56316.9442865,24.3484367
2017-04-11 15:47:25.000,59.1251594,27.6452967,49.2465280,0.2953283,39.1140280,38.7950671,37.3104120,1543.6513801,56281.5259013,24.4169974
2017-04-11 15:47:36.000,59.0124738,27.5548362,52.0996201,0.3147260,41.9671201,41.6248933,37.3012495,1543.4890774,56266.8017615,24.4518687
2017-04-11 15:47:47.000,58.8032231,27.3847338,54.7597644,0.3429461,44.6272644,44.2633451,37.2866095,1543.1396003,56241.5113179,24.5076686
2017-04-11 15:47:58.000,58.6272981,27.2601615,57.3606078,0.4307616,47.2281078,46.8429795,37.2592622,1542.8757240,56201.1460980,24.5386588
2017-04-11 15:48:09.000,58.3063390,26.9702557,60.0877652,0.5538084,49.9552652,49.5478979,37.2598371,1542.2698391,56191.7380881,24.6445145
2017-04-11 15:48:20.000,58.2286294,26.9006963,62.9489212,0.6303476,52.8164212,52.3857222,37.2587136,1542.1593822,56188.7909317,24.6783146
2017-04-11 15:48:31.000,58.2000071,26.8643428,66.2949210,0.7258754,56.1624210,55.7044366,37.2661976,1542.1412320,56198.8259829,24.7099723
2017-04-11 15:48:42.000,57.4256710,26.5450017,70.0992001,1.0705935,59.9667001,59.4776931,36.9600819,1541.1509681,55779.6399449,24.5976432
2017-04-11 15:48:53.000,56.6246191,25.5439049,74.0654633,1.1784494,63.9329633,63.4116129,37.1816254,1539.1284927,56042.4178117,25.0975232
2017-04-11 15:49:04.000,56.2279505,25.1996162,79.6244941,1.2074875,69.4919941,68.9253118,37.1670482,1538.3905025,56014.3860946,25.2172110
