11/04/2017 17:30:11 08°45.94483 S  034°46.90963 W  54.21
Time,Conductivity,Temperature,Pressure,Chlorophyll a,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
2017-04-11 17:30:05.000,59.9943101,28.6147072,23.9642589,2.1188288,13.8317589,13.7189658,37.1660764,1545.1891460,56119.7514464,23.8797888
2017-04-11 17:30:20.000,60.1266433,28.6398208,25.5163870,2.1741006,15.3838870,15.2584370,37.2385654,1545.3456232,56218.3137091,23.9325474
2017-04-11 17:30:31.000,60.2943961,28.6745221,27.9032694,2.1271254,17.7707694,17.6258551,37.3280054,1545.5545288,56340.2474555,23.9984015
2017-04-11 17:30:41.000,60.4561903,28.7329002,32.0923602,1.9156204,21.9598602,21.7807854,37.3939772,1545.8197167,56432.6341265,24.0463412
2017-04-11 17:30:52.000,60.3959325,28.6774084,36.2835629,1.6155403,26.1510629,25.9378103,37.3942264,1545.7716314,56432.2180680,24.0830021
2017-04-11 17:31:02.000,60.0018529,28.3874313,39.5676849,1.4698239,29.4351849,29.1951515,37.3454178,1545.1505161,56355.6461098,24.1570911
2017-04-11 17:31:13.000,60.0097647,28.3813961,39.5035392,1.4354105,29.3710392,29.1315289,37.3557764,1545.1472933,56369.1800163,24.1666198
2017-04-11 17:31:23.000,59.9598374,28.3239504,41.0791537,1.3047681,30.9466537,30.6942948,37.3655597,1545.0596498,56380.3900092,24.1998079
2017-04-11 17:31:34.000,59.8061942,28.2038966,41.9317283,1.2403234,31.7992283,31.5399170,37.3519811,1544.7987812,56357.4335003,24.2330686
2017-04-11 17:31:44.000,59.7120643,28.1247213,43.2058164,1.1360900,33.0733164,32.8036153,37.3478318,1544.6432679,56349.0314259,24.2616024
2017-04-11 17:31:55.000,59.6396653,28.0732569,44.0839465,1.1377259,33.9514465,33.6745847,37.3371632,1544.5343740,56332.9649392,24.2743376
2017-04-11 17:32:06.000,59.6486316,28.0677513,43.9315416,1.1445034,33.7990416,33.5234226,37.3479270,1544.5311486,56347.0308937,24.2836091
2017-04-11 17:32:17.000,59.6237117,28.0641133,45.0530163,1.0182431,34.9205163,34.6357520,37.3328218,1544.5261112,56327.1876515,24.2782292
2017-04-11 17:32:28.000,59.4455978,27.9214606,45.6499643,1.0015330,35.5174643,35.2278321,37.3196689,1544.2096591,56303.8487664,24.3179312
2017-04-11 17:32:39.000,59.3523583,27.8469649,45.8143424,0.9936454,35.6818424,35.3908698,37.3126298,1544.0411960,56291.3991636,24.3378457
2017-04-11 17:32:50.000,59.2790462,27.7752869,46.2504477,0.9750073,36.1179477,35.8234187,37.3174024,1543.8956549,56294.9638809,24.3668506
2017-04-11 17:33:01.000,59.2095569,27.7172420,46.6803444,0.9255782,36.5478444,36.2498098,37.3140286,1543.7711725,56288.2356161,24.3851876
2017-04-11 17:33:12.000,59.2068854,27.7138015,47.0889426,0.9199108,36.9564426,36.6550761,37.3147380,1543.7711979,56289.2123940,24.3885959
2017-04-11 17:33:23.000,59.1943799,27.7027126,46.5068505,0.9889129,36.3743505,36.0777307,37.3148496,1543.7370114,56288.6574994,24.3898269
2017-04-11 17:33:34.000,59.1878350,27.6947312,47.4056773,0.9066479,37.2731773,36.9692279,37.3162634,1543.7359900,56290.5938452,24.3973484
2017-04-11 17:33:45.000,59.1637295,27.6763769,47.7864091,0.8603155,37.6539091,37.3468549,37.3135937,1543.6989738,56286.4345581,24.4029775
2017-04-11 17:33:56.000,59.1364673,27.6532824,47.6845186,0.8861401,37.5520186,37.2457953,37.3126027,1543.6450984,56284.1180781,24.4093578
2017-04-11 17:34:07.000,59.1410935,27.6521747,47.7527697,0.8997535,37.6202697,37.3134899,37.3167638,1543.6482046,56289.6545701,24.4131466
2017-04-11 17:34:18.000,59.1625923,27.6796302,47.6443467,0.8931513,37.5118467,37.2059511,37.3102344,1543.7002206,56282.0255635,24.3987744
2017-04-11 17:34:29.000,59.1869774,27.6943021,47.6615303,0.8897626,37.5290303,37.2229946,37.3159134,1543.7389760,56290.2170433,24.3983189
2017-04-11 17:34:40.000,59.1549520,27.6753879,47.7503065,0.8850884,37.6178065,37.3110468,37.3081363,1543.6903954,56279.0953746,24.3990364
2017-04-11 17:34:51.000,59.1484015,27.6599291,47.6916241,0.8931513,37.5591241,37.2528429,37.3158103,1543.6633309,56288.6753017,24.4096283
